1	ゴールド	1	1		3	0		2014-08-12 00:00:00	2014-08-12 00:00:00	0
2	華霊石	2	6	ガチャやスタミナ回復などで使用するアイテムです	88	0		2014-08-12 00:00:00	2014-08-12 00:00:00	0
3	ガチャ種	3	1	集めることで「ノーマルガチャ」を引くことができる種	122	0		2014-08-12 00:00:00	2014-08-12 00:00:00	0
4	スタミナ全回復	4	1		0	0		2014-08-12 00:00:00	2014-08-12 00:00:00	0
5	アタックポイント全回復	5	1		0	0		2014-08-18 00:00:00	2014-08-18 00:00:00	0
6	キャラクター枠拡張	6	1		0	0		2014-08-12 00:00:00	2014-08-18 00:00:00	0
7	装備枠拡張	7	1		0	0		2014-08-12 00:00:00	2014-08-18 00:00:00	0
8	マイセット枠拡張	8	1		0	0		2014-08-18 00:00:00	2014-08-18 00:00:00	0
9	装備ガチャ種	10	1	集めることで「装備ガチャ」を引くことができる種	0	0		2014-08-29 00:00:00	2014-09-03 00:00:00	0
10	中級装備ガチャ種	11	1	集めることで「装備ガチャ」を引くことができる種	121	0		2014-12-21 00:00:00	2014-12-21 00:00:00	0
11	上級装備ガチャ種	11	1	集めることで「装備ガチャ」を引くことができる種	0	0		2014-12-21 00:00:00	2014-12-21 00:00:00	0
12	初回割引用プレミアムガチャ	12	1		0	0		2015-04-07 00:00:00	2015-06-04 00:00:00	0
14	初回割引用キャンペーンガチャ	12	1		0	0		2015-06-04 00:00:00	2015-06-04 00:00:00	0
16	プレミアムガチャチケット	12	3		0	0		2015-06-09 00:00:00	2015-06-09 00:00:00	0
17	★4以上確定ガチャチケット	12	4		0	0		2015-06-09 00:00:00	2015-06-09 00:00:00	0
18	★5以上確定ガチャチケット	12	5		0	0		2015-06-09 00:00:00	2015-06-09 00:00:00	0
19	初回割引用セレクションガチャ	12	1		0	0		2015-07-07 00:00:00	2015-07-07 00:00:00	0
21	初回割引用キャンペーンガチャ	12	1		0	0		2015-08-06 00:00:00	2015-08-06 00:00:00	0
23	スペシャルガチャ	12	5		0	0		2015-08-06 00:00:00	2015-08-06 00:00:00	0
25	スゴウデ庭師への依頼状	22	5	特別な庭園用アイテムを購入する際に使用できます	0	0		2015-08-06 00:00:00	2015-08-06 00:00:00	0
26	特典付きスペシャルガチャ	12	5		0	0		2015-12-15 00:00:00	2015-12-15 00:00:00	0
27	スペシャル交換チケット（特典）	13	5		7	0		2015-12-15 00:00:00	2015-12-15 00:00:00	0
28	正月限定福袋ガチャ10000	12	5		0	0		2015-12-22 00:00:00	2015-12-22 00:00:00	0
29	正月限定福袋ガチャ5000	12	5		0	0		2015-12-22 00:00:00	2015-12-22 00:00:00	0
30	正月限定福袋ガチャ3000	12	5		0	0		2015-12-22 00:00:00	2015-12-22 00:00:00	0
31	ステージ獲得ゴールド1.2倍（15日）	16	5		0	0		2015-06-18 00:00:00	2015-06-18 00:00:00	0
32	★5ガチャチケット【1周年】	12	5		0	0		2016-01-13 00:00:00	2016-01-13 00:00:00	0
33	★5花騎士の封印石(1周年)	13	5		10	0		2016-01-19 00:00:00	2016-01-19 00:00:00	0
34	1周年記念ガチャ	12	5		0	0		2016-01-19 00:00:00	2016-01-19 00:00:00	0
35	春の応援ガチャ	12	5		0	0		2016-02-23 00:00:00	2016-02-25 00:00:00	0
