1	1	1	100	
3	2	2	997	
4	6	2	995	
6	1	2	1000	
7	13	3	1000	
8	12	3	900	
10	6	3	500	
11	2	3	690	
12	3	3	600	
13	7	3	400	
14	1	3	300	
15	13	4	1100	
16	12	4	1000	
18	6	4	100	
19	2	4	700	
20	3	4	600	
21	10	4	400	
22	11	4	300	
23	7	4	50	
24	1	4	500	
25	13	5	1400	
26	12	5	1300	
28	6	5	200	
29	2	5	1070	
30	3	5	1050	
31	10	5	800	
32	11	5	700	
34	1	5	500	
35	9	5	600	
36	4	5	1040	
37	19	5	850	
38	20	2	996	
39	20	3	680	
40	20	4	699	
41	20	5	1060	
42	21	2	998	
43	21	3	701	
44	21	4	702	
45	21	5	1090	
50	28	2	998	
51	22	3	670	
52	23	3	660	
53	24	3	650	
54	25	3	640	
55	22	4	698	
56	23	4	697	
57	24	4	696	
58	25	4	695	
59	22	5	998	
60	23	5	997	
61	24	5	996	
62	25	5	995	
63	26	4	350	
64	26	5	750	
65	27	3	799	
66	27	4	800	
67	27	5	1100	
69	2	1	80	
70	20	1	70	
71	28	3	700	
72	28	4	701	
73	28	5	1080	
75	74	2	999	
76	74	3	299	
77	74	4	499	
78	74	5	499	
79	29	2	999	
80	13	7	2300	
81	12	7	2200	
83	27	7	1900	
84	6	7	100	
85	21	7	1800	
86	2	7	1600	
87	20	7	1500	
88	22	7	1200	
89	23	7	1100	
90	24	7	1000	
91	25	7	900	
92	3	7	1400	
93	9	7	800	
94	26	7	600	
95	11	7	500	
96	1	7	300	
97	74	7	200	
98	4	7	400	
99	10	7	1300	
100	19	7	700	
101	28	7	1700	
102	30	7	2000	
103	31	2	895	
104	31	3	590	
105	31	4	590	
106	31	5	1040	
107	31	7	1390	
108	32	7	650	
109	32	5	760	
110	32	4	360	
111	33	2	1001	
112	33	3	805	
113	33	4	905	
114	33	5	1205	
115	33	7	2105	
116	34	7	2090	
117	13	6	1400	
118	12	6	1300	
120	27	6	1100	
121	6	6	200	
122	21	6	1090	
123	2	6	1070	
124	20	6	1060	
125	22	6	998	
126	23	6	997	
127	24	6	996	
128	25	6	995	
129	3	6	1050	
130	31	6	1040	
131	10	6	850	
132	32	6	760	
133	26	6	750	
134	11	6	700	
135	1	6	500	
136	74	6	499	
137	9	6	800	
138	4	6	1040	
139	19	6	600	
140	28	6	1080	
142	33	6	1205	
143	34	6	1190	
144	35	3	850	
145	35	2	999	
146	35	1	999	
147	75	2	999	
148	75	3	299	
149	75	4	499	
150	75	5	499	
151	75	6	499	
152	75	7	200	
153	36	3	850	
154	36	4	850	
155	36	5	1250	
156	36	6	1250	
157	36	7	2150	
158	37	3	850	
159	38	3	850	
160	37	4	850	
161	38	4	850	
162	37	5	1250	
163	38	5	1250	
164	37	6	1190	
165	38	6	1250	
166	37	7	2090	
167	38	7	2150	
168	39	3	850	
169	76	7	2400	
