1	"<font color='#301C00'><font color='#FF0000'>メインストーリー</font>の任務では、<br>団長経験値を多く獲得できますよ！<br><br><font color='#FF0000'>団長レベル</font>を上げるために、<br>メインストーリーの任務へ行きませんか？</font>"	PLAYER_LV	1	30	0		0	0	0		0	0	0	999	1	0	4	1	0	"2017-02-10 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
6		PLAY_DAYS	0	1	0		0	0	0		0	0	0	100000	0	0	17	0	0	"2017-02-10 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_ev_raid.png	images/navigation/textarea/t_panelcampaign.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
8	"<font color='#301C00'>　　討伐ボタンでメインストーリーへ行く！</font>"	NOT_CLEAR_STAGE	1025	1025	0	PLAYER_LV	1	25	0		0	0	0	99999	1	0	23	1	0	"2017-02-10 00:00:00"	"2030-01-01 00:00:00"	images/navigation/Subjugation_nznb.png	images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
9		START_DASH	0	0	0		0	0	0		0	0	0	999999	1	0	35	0	1	"2017-02-10 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_startdash.png			images/navigation/click/c_standard.png	289	130	0	
1001	"<font color='#301C00'><font color='#FF0000'>メインストーリー</font>の任務では、<br>団長経験値を多く獲得できますよ！<br><br><font color='#FF0000'>団長レベル</font>を上げるために、<br>メインストーリーの任務へ行きませんか？</font>"	PLAYER_LV	1	30	0		0	0	0		0	0	0	1999	0	0	4	1	0	"2017-02-10 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
1006	"<font color='#301C00'><font color='#FF0000'>メインクエスト</font>は騎士団の強化に使える<br>報酬がたくさん用意されていますよ♪<br><br>色々な達成条件がありますので、<br>クエストを見に行ってみませんか？</font>"	SUMPOWER_TOP20CHARACTER	1	40000	0		0	0	0		0	0	0	1994	0	0	3	3	0	"2016-12-06 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
1007	"<font color='#301C00'><font color='#FF0000'>デイリークエスト</font>は毎日、<br><font color='#FF0000'>ウィークリークエスト</font>は<br>毎週月曜日にリセットされます。<br>報酬の受け取り忘れに、ご注意くださいね。<br><br>達成できそうな条件を確認しましょう！</font>"	SUMPOWER_TOP20CHARACTER	40000	70000	0		0	0	0		0	0	0	1993	0	0	3	1	0	"2016-12-06 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
1008	"<font color='#301C00'>討伐で獲得した<font color='#FF0000'>ガチャ種</font>で、<br><font color='#FF0000'>ノーマルガチャ</font>を引くことができますよ。<br><br>集めて新たな花騎士さんを<br>迎えにいきましょう♪</font>"	SUMPOWER_TOP20CHARACTER	1	30000	0	ITEM_COUNT	1000	2147483647	3		0	0	0	1992	0	0	5	6	0	"2016-12-06 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
1010	"<font color='#301C00'><font color='#FF0000'>復刻任務</font>や<font color='#FF0000'>再復刻任務</font>では、<br>過去の緊急任務に登場した<br>花騎士さんを仲間にできますよ♪<br><br>復刻任務は期間が限られていますので、<br>ご注意くださいね。</font>"	SUMPOWER_TOP20CHARACTER	50000	70000	0		0	0	0		0	0	0	1990	0	0	4	4	0	"2016-12-06 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
1011	"<font color='#301C00'><font color='#FF0000'>庭園</font>に鉢植えを置くと、<br>咲いた花から色々な恩恵が受けられます。<br><br>虫も一緒に寄ってきてしまうので、<br>花が咲いたら捕獲しにいきましょう♪</font>"	SUMPOWER_TOP20CHARACTER	30000	50000	0	GOLD	15000	2147483647	0		0	0	0	1989	0	0	18	1	0	"2016-12-06 00:00:00"	"2030-01-01 00:00:00"		images/navigation/ground/g_standard.png	images/navigation/textarea/t_standard.png	NAZNABI1	images/navigation/click/c_standard.png	289	130	0	
