100001	652	100001	0	0	0		1	0	0
100002	652	100002	0	0	0		1	0	0
100011	652	100011	0	0	0	パラレル学園	2	0	0
100012	652	100012	0	0	0	パラレル学園	2	0	0
100019	652	100019	0	0	0	イースター	3	0	0
100020	652	100020	0	0	0	イースター	3	0	0
100841	681	100841	0	0	0		1	0	0
100842	681	100842	0	0	0		1	0	0
102901	712	102901	0	0	0		1	0	0
102902	712	102902	0	0	0		1	0	0
103501	666	103501	0	0	0		1	0	0
103502	666	103502	0	0	0		1	0	0
103503	666	103503	0	0	0	バレンタイン	2	0	0
103504	666	103504	0	0	0	バレンタイン	2	0	0
103507	696	103507	0	0	0		1	0	0
103508	696	103508	0	0	0		1	0	0
103509	696	103509	0	0	0	水着	2	0	0
103510	696	103510	0	0	0	水着	2	0	0
108600	10001	108600	0	0	0		1	0	0
108601	10002	108601	0	0	0		1	0	0
108602	10003	108602	0	0	0		1	0	0
108603	10004	108603	0	0	0		1	0	0
108604	10005	108604	0	0	0		1	0	0
108605	10006	108605	0	0	0		1	0	0
108606	10007	108606	0	0	0		1	0	0
108607	10008	108607	0	0	0		1	0	0
110001	328	110001	0	0	0		1	0	0
110002	328	110002	0	0	0		1	0	0
110003	567	110003	0	0	0		1	0	0
110004	567	110004	0	0	0		1	0	0
110005	446	110005	0	0	0		1	0	0
110006	446	110006	0	0	0		1	0	0
110007	609	110007	0	0	0		1	0	0
110008	609	110008	0	0	0		1	0	0
110009	657	110009	0	0	0		1	0	0
110010	657	110010	0	0	0		1	0	0
110011	672	110011	0	0	0		1	0	0
110012	672	110012	0	0	0		1	0	0
110015	731	110015	0	0	0		1	0	0
110016	731	110016	0	0	0		1	0	0
110017	741	110017	0	0	0		3	0	0
110018	741	110018	0	0	0		3	0	0
110021	756	110021	0	0	0		1	0	0
110022	756	110022	0	0	0		1	0	0
110101	703	110101	0	0	0		1	0	0
110102	703	110102	0	0	0		1	0	0
110301	196	110301	0	0	0		1	0	0
110302	196	110302	0	0	0		1	0	0
110303	320	110303	0	0	0		1	0	0
110304	320	110304	0	0	0		1	0	0
110305	320	110305	0	0	0	新春	2	0	0
110306	320	110306	0	0	0	新春	2	0	0
110307	725	110307	0	0	0		1	0	0
110308	725	110308	0	0	0		1	0	0
110401	89	110401	0	0	0		1	0	0
110402	89	110402	0	0	0		1	0	0
110403	181	110403	0	0	0		1	0	0
110404	181	110404	0	0	0		1	0	0
110405	89	110405	0	0	0	七夕	2	0	0
