1	enemy000000_2	ヨワ虫	よわむし	スプリングガーデンでもっとも弱い害虫。<br>よく新米花騎士の訓練相手にされている。	ハエ	ブロッサムヒル	1	2	3	16			0
2	raid060001_3	カマキーリ	かまきーり	鋭いカマを両手に備えているが、動きが鈍重。<br>あまり強くはなく、<br>新米花騎士の訓練相手にされることが多い。<br>花騎士の間では、これを一人で倒したら一人前とも言われる。	カマキリ	ブロッサムヒル	2	3	3	4			0
3	enemy020000_2	偵察ブンブン	ていさつぶんぶん	敵を見つけると仲間に知らせる習性がある。<br>しかしとても弱いので、<br>知らせる前に倒されてしまうことがほとんど。<br>偵察というよりは、単なるチクリ魔だという説も。	ハチ	ブロッサムヒル	3	2	3	17			0
4	enemy050001_2	ヌメリンチョ	ぬめりんちょ	粘着性を活かして木々に張り付き、獲物を待ち伏せする。<br>頭上に落下してきたときの感触はなんとも形容しがたい。	ナメクジ	リリィウッド	5	2	5	15			0
5	raid130002_3	暴君ケムケム	ぼうくんけむけむ	どんな環境でもすぐに適応・繁殖する大型の害虫。<br>回転しながらの体当たりが必殺技で、<br>まともに巻き込まれるとタダではすまない。<br>かつて「目を回すまで待とう」という作戦が<br>採られたこともあったが、<br>この害虫が目を回すようなことはなく、<br>その頃には辺りが荒れ果ててしまっていた。	ケムシ	リリィウッド	6	3	5	8			0
6	enemy100002_3	コガネモチィ	こがねもちぃ	その黄金に輝く表皮は高値で取引され、<br>密漁者が後を絶たない。<br>しかしその密漁者が返り討ちに遭うことが非常に多く、<br>花騎士が彼らの救助に駆り出されることもしばしば。<br>なかなかに罪作りな害虫である。	カブトムシ	スプリングガーデン各地	8	3	8	3			0
7	enemy070001_2	マイドアリ	まいどあり	スプリングガーデンは西方、<br>コダイバナの国の領内に生息する種。<br>かつて繁栄都市ブレーメンで活動していた商人達が<br>手伝わせていた益虫につけた愛称のようだ。<br>害虫化した今でも、その名で呼ばれている。	アリ	コダイバナ	9	2	6	1			0
8	raid000002_3	タダノカネモチィ	ただのかねもちぃ	シークレットガーデンに潜む巨大害虫。<br>ゴールドを独り占めするために守りを固めているが、<br>半面、攻めは弱い。<br>ちょっと自慢気なその名前にイラッとくる団長も多いとか。	ハエ	スプリングガーデン各地	10	3	8	16			0
9	enemy020000_3	プラナサテラ	ぷらなさてら	遥か天より高い場所から来たとされる、<br>凶悪な害虫達を護る害虫。<br>意志はなく、星の名を冠する害虫の駒として動くのみ。<br>プラナムーヌにはハチの、<br>プラナマースにはカマキリの、<br>プラナジュピトにはアリの、<br>プラナヴィーネにはチョウの護衛が伴って出現したという。	様々	コダイバナ	11	3	6	19			0
10	raid060001_4	プラナマース	ぷらなまーす	遥か天より高い場所、<br>宙（そら）に浮かぶマースの名を冠する極限指定害虫。<br>かつてコダイバナの国で宙を観測し研究していた者が、<br>一定の周期をもって破壊活動を行うその習性が<br>星の動きに似ていると考え、なぞって名付けた。	カマキリ	コダイバナ	13	4	6	4			0
11	raid010003_4	プラナジュピト	ぷらなじゅぴと	遥か天より高い場所、<br>宙（そら）に浮かぶジュピトの名を冠する極限指定害虫。<br>かつてコダイバナの国で宙を観測し研究していた者が、<br>一定の周期をもって破壊活動を行うその習性が<br>星の動きに似ていると考え、なぞって名付けた。	アリ	コダイバナ	14	4	6	1			0
12	raid120002_4	プラナヴィーネ	ぷらなゔぃーね	遥か天より高い場所、<br>宙（そら）に浮かぶヴィーネの名を冠する極限指定害虫。<br>かつてコダイバナの国で宙を観測し研究していた者が、<br>一定の周期をもって破壊活動を行うその習性が<br>星の動きに似ていると考え、なぞって名付けた。	チョウ	コダイバナ	15	4	6	12			0
13	raid120101_3	レリカ・シン	れりか・しん	「罪の遺物」という意味の名を持つチョウ型の害虫。<br>サザンクロスがまだ花騎士となる前、<br>彼女の弟の友人の命を奪っており、<br>以来弟の心に深い傷を負わせた敵として<br>サザンクロスが探し求めていた。<br>基本的に高度な知能を有さない害虫には珍しく、<br>ダミー・シンと呼ばれる身代わりを生み出し、<br>身を隠す知性を持つ。<br><br>※緊急任務「拳に秘める思い」にて登場	チョウ	ブロッサムヒル	16	3	3	12			0
14	enemy_greencaterpillar_red0_single_3	ナイトストーカー	ないとすとーかー	リリィウッド史上、<br>最も霧の濃い夜に出現した害虫の総称。<br>不意に背後をつかれる花騎士が<br>後を絶たないことからその名がつけられた。<br>赤の襲撃者にはケムシの、<br>青の襲撃者にはチョウの、<br>黄の襲撃者にはカブトムシの、<br>紫の襲撃者にはクモの取り巻きが伴って出現したという。	様々	リリィウッド	17	3	5	19			0
15	raid130001_4	赤の襲撃者	あかのしゅうげきしゃ	リリィウッド史上、<br>最も霧の濃い夜に出現した極限指定害虫。<br>その濃霧も相まって、夜間警備にあたっていた<br>多くの花騎士が襲撃を受ける事件が発生し、<br>各国の騎士団に応援要請が出された。	ケムシ	リリィウッド	18	4	5	8			0
16	raid120001_4	青の襲撃者	あおのしゅうげきしゃ	リリィウッド史上、<br>最も霧の濃い夜に出現した極限指定害虫。<br>その濃霧も相まって、夜間警備にあたっていた<br>多くの花騎士が襲撃を受ける事件が発生し、<br>各国の騎士団に応援要請が出された。	チョウ	リリィウッド	19	4	5	12			0
17	raid100002_4	黄の襲撃者	きのしゅうげきしゃ	リリィウッド史上、<br>最も霧の濃い夜に出現した極限指定害虫。<br>その濃霧も相まって、夜間警備にあたっていた<br>多くの花騎士が襲撃を受ける事件が発生し、<br>各国の騎士団に応援要請が出された。	カブトムシ	リリィウッド	20	4	5	3			0
18	raid150003_4	紫の襲撃者	むらさきのしゅうげきしゃ	リリィウッド史上、<br>最も霧の濃い夜に出現した極限指定害虫。<br>その濃霧も相まって、夜間警備にあたっていた<br>多くの花騎士が襲撃を受ける事件が発生し、<br>各国の騎士団に応援要請が出された。	クモ	リリィウッド	21	4	5	6			0
19	enemy_mantis_red0_single_2	ダンゴホスィ	だんごほすぃ	団子を好んで食す習性があり、<br>他の害虫よりも団子に対する執着が非常に強い。<br>時に団子を持っているスプリングガーデンの人々に<br>襲い掛かることがある。<br>団子を多く与えると「ダンゴモチィ」という亜種に<br>変態する場合がある。<br><br>※緊急任務「十五夜の冒険」にて登場	カマキリ	ベルガモットバレー	22	2	4	4			0
20	boss_ant_event17_all_3	月下凶虫・ミタラス	げっかきょうちゅう・みたらす	十五夜の夜に活動が活発化する団子好きの害虫。<br>体が発光する特徴を持つ。<br>ケムシ型害虫の中でも特に凶暴な部類で、一説では、<br>この害虫を「見たら死（みたらし）」ぬといわれており、<br>訛の強い地方のスプリングガーデンの人々が<br>「みたらし」ではなく「みたらす」と<br>発音したことが名前の所以とされている。<br><br>※緊急任務「十五夜の冒険」にて登場	ケムシ	ベルガモットバレー	23	3	4	8			0
21	raid120000_3	チョウガンバーレ	ちょうがんばーれ	なんでだろう、見ていると超・頑張りたくなる……。<br>そんなチョウなんです。<br><br>※緊急任務「秋空に響く応援歌」にて登場	チョウ	ベルガモットバレー	24	3	4	12			0
22	raid120101_3	チョウガンバータ	ちょうがんばーた	頑張ったよ！　超・頑張ったよ！！！<br><br><br><br>さぁ、もうひと踏ん張りしてみようか。<br><br>※緊急任務「秋空に響く応援歌」にて登場	チョウ	ベルガモットバレー	25	3	4	12			0
23	boss_ant_event19magenta0_all_3	紅絹爺	もみじい	たなびくマフラーを身に着けているおしゃれな害虫。<br>このあたりに棲むアリ型は、秋になると<br>赤く紅葉したもみじの葉を体につける習慣があり、<br>そこから紅絹（モミ）の名前がついたとされる。<br>また、小型の害虫が周りを取り巻いていることが<br>多いため、そこに「爺」がつけられたという。<br><br>※緊急任務「山と紅葉と食いしん坊」にて登場	アリ	ベルガモットバレー	27	3	4	1			0
