1	144	1	10	"2016-10-20 00:00:00"	"2016-10-20 00:00:00"	0	"2016-10-20 00:00:00"
2	109961	2	1	"2017-04-19 00:00:00"	"2017-04-19 00:00:00"	0	"2017-04-19 00:00:00"
3	109962	3	1	"2017-04-19 00:00:00"	"2017-04-19 00:00:00"	0	"2017-04-19 00:00:00"
4	109963	4	1	"2017-04-19 00:00:00"	"2017-04-19 00:00:00"	0	"2017-04-19 00:00:00"
5	109941	5	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
6	109942	6	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
7	109943	7	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
8	109944	8	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
9	109945	9	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
10	109946	10	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
11	109947	11	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
12	109948	12	1	"2017-05-09 00:00:00"	"2017-05-09 00:00:00"	0	"2017-05-09 00:00:00"
13	1100001	13	1	"2019-08-20 00:00:00"	"2019-08-20 00:00:00"	0	"2019-08-20 00:00:00"
14	1100002	14	1	"2019-08-20 00:00:00"	"2019-08-20 00:00:00"	0	"2019-08-20 00:00:00"
15	1100003	15	1	"2019-08-20 00:00:00"	"2019-08-20 00:00:00"	0	"2019-08-20 00:00:00"
