1	ヤマユリの装花	222704	1	28	1	0			0	
2	体力のアンプル	5000	2	0	30	0			0	
3	攻撃のアンプル	5010	3	0	10	0			0	
4	防御のアンプル	5020	4	0	4	0			0	
7	ヒメユリの装花	202708	1	110	1	0			0	
8	ヒメユリの技花	202707	5	110	1	100			0	
9	コダイバナの技花（銅）	200003	6	3	1	100			0	
10	コダイバナの技花（銀）	200004	6	4	1	100			0	
11	コダイバナの技花（金）	200005	6	5	1	100			0	
12	コダイバナの技花（虹）	200006	6	6	1	100			0	
13	サザンクロスの装花	233002	1	131	1	0			0	
14	サザンクロスの技花	233001	5	131	1	100			0	
15	ディプラデニアの装花	225002	1	144	1	0			0	
16	ディプラデニアの技花	225001	5	144	1	100			0	
17	ラベンダーの装花	241104	1	50	1	0			0	
18	ラベンダーの技花	241103	5	50	1	100			0	
19	エーデルワイスの装花	250602	1	60	1	0			0	
20	エーデルワイスの技花	250601	5	60	1	100			0	
21	ギンリョウソウの装花	254202	1	152	1	0			0	
22	ギンリョウソウの技花	254201	5	152	1	100			0	
23	ヤマユリの技花	222705	5	28	1	100			0	
24	ハリエンジュの装花	232406	1	156	1	0			0	
25	ハリエンジュの技花	232405	5	156	1	100			0	
26	ヨルガオの装花	222304	1	25	1	0			0	
27	ヨルガオの技花	222303	5	25	1	100			0	
28	タチバナの装花	223102	1	111	1	0			0	
29	タチバナの技花	223101	5	111	1	100			0	
30	ガイラルディアの装花	220804	1	164	1	0			0	
31	ガイラルディアの技花	220803	5	164	1	100			0	
32	スズランノキの装花	254204	1	168	1	0			0	
33	スズランノキの技花	254203	5	168	1	100			0	
34	レシュノルティアの装花	213002	1	109	1	0			0	
35	レシュノルティアの技花	213001	5	109	1	100			0	
36	リンドウの装花	244502	1	173	1	0			0	
37	リンドウの技花	244501	5	173	1	100			0	
38	ゼラニウムの装花	253602	1	126	1	0			0	
39	ゼラニウムの技花	253601	5	126	1	100			0	
40	ヤツデの装花	214802	1	177	1	0			0	
41	ヤツデの技花	214801	5	177	1	100			0	
42	オトギリソウの装花	243802	1	129	1	0			0	
43	オトギリソウの技花	243801	5	129	1	100			0	
44	サンダーソニアの装花	222710	1	181	1	0			0	
45	サンダーソニアの技花	222709	5	181	1	100			0	
46	ホーリーの装花	216202	1	185	1	0			0	
47	ホーリーの技花	216201	5	185	1	100			0	
48	カンナの装花	243702	1	136	1	0			0	
49	カンナの技花	243701	5	136	1	100			0	
52	コダイバナの装花（金）	200015	7	5	1	0			0	
53	コダイバナの装花（虹）	200016	7	6	1	0			0	
54	マツの装花	256304	1	190	1	0			0	
55	マツの技花	256303	5	190	1	100			0	
56	カラーの装花	253402	1	143	1	0			0	
57	カラーの技花	253401	5	143	1	100			0	
58	フクジュソウの装花	232906	1	194	1	0			0	
59	フクジュソウの技花	232905	5	194	1	100			0	
60	オシロイバナの装花	223902	1	148	1	0			0	
61	オシロイバナの技花	223901	5	148	1	100			0	
62	ラナンキュラスの装花	232908	1	202	1	0			0	
63	ラナンキュラスの技花	232907	5	202	1	100			0	
64	プリムラの装花	210902	1	206	1	0			0	
65	プリムラの技花	210901	5	206	1	100			0	
66	サイネリアの装花	210804	1	213	1	0			0	
67	サイネリアの技花	210803	5	213	1	100			0	
68	ルナリアの装花	250202	1	160	1	0			0	
69	ルナリアの技花	250201	5	160	1	100			0	
70	ヨモギの装花	240812	1	217	1	0			0	
71	ヨモギの技花	240811	5	217	1	100			0	
72	ラッセリアの装花	244404	1	223	1	0			0	
73	ラッセリアの技花	244403	5	223	1	100			0	
74	サツキの装花	254206	1	227	1	0			0	
75	サツキの技花	254205	5	227	1	100			0	
76	ベラドンナの装花	225604	1	232	1	0			0	
77	ベラドンナの技花	225603	5	232	1	100			0	
78	アリッサムの装花	210302	1	237	1	0			0	
79	アリッサムの技花	210301	5	237	1	100			0	
80	フクシアの装花	244302	1	241	1	0			0	
81	フクシアの技花	244301	5	241	1	100			0	
82	ガザニアの装花	220808	1	246	1	0			0	
83	ガザニアの技花	220807	5	246	1	100			0	
84	ヒメリュウキンカの装花	232910	1	250	1	0			0	
85	ヒメリュウキンカの技花	232909	5	250	1	100			0	
86	プルメリアの装花	225004	1	255	1	0			0	
87	プルメリアの技花	225003	5	255	1	100			0	
88	レインリリーの装花	222004	1	198	1	0			0	
89	レインリリーの技花	222003	5	198	1	100			0	
90	シーマニアの装花	210502	1	259	1	0			0	
91	シーマニアの技花	210501	5	259	1	100			0	
92	クレマチスの装花	242902	1	264	1	0			0	
93	クレマチスの技花	242901	5	264	1	100			0	
94	ウキツリボクの装花	240102	1	269	1	0			0	
95	ウキツリボクの技花	240101	5	269	1	100			0	
96	エウカリスの装花	212004	1	275	1	0			0	
97	エウカリスの技花	212003	5	275	1	100			0	
98	ツユクサの装花	258002	1	279	1	0			0	
99	ツユクサの技花	258001	5	279	1	100			0	
100	ストレリチアの装花	217402	1	283	1	0			0	
101	ストレリチアの技花	217401	5	283	1	100			0	
102	メイゲツカエデの装花	235302	1	288	1	0			0	
103	メイゲツカエデの技花	235301	5	288	1	100			0	
104	ブルーエルフィンの装花	215502	1	293	1	0			0	
105	ブルーエルフィンの技花	215501	5	293	1	100			0	
106	ミカンの装花	253002	1	297	1	0			0	
107	ミカンの技花	253001	5	297	1	100			0	
108	ワタチョロギの装花	241106	1	301	1	0			0	
109	ワタチョロギの技花	241105	5	301	1	100			0	
110	アルストロメリアの装花	212604	1	271	1	0			0	
111	アルストロメリアの技花	212603	5	271	1	100			0	
112	スキミアの装花	243002	1	306	1	0			0	
113	スキミアの技花	243001	5	306	1	100			0	
114	オリーブの装花	213302	1	310	1	0			0	
115	オリーブの技花	213301	5	310	1	100			0	
116	ハコベラの装花	231806	1	315	1	0			0	
117	ハコベラの技花	231805	5	315	1	100			0	
118	リカステの装花	252808	1	320	1	0			0	
119	リカステの技花	252807	5	320	1	100			0	
120	ヨウラクボタンの装花	239802	1	324	1	0			0	
121	ヨウラクボタンの技花	239801	5	324	1	100			0	
122	ラミウムの装花	261102	1	328	1	0			0	
123	ラミウムの技花	261101	5	328	1	100			0	
124	モルチアナの装花	250102	1	334	1	0			0	
125	モルチアナの技花	250101	5	334	1	100			0	
126	イモーテルの装花	240818	1	339	1	0			0	
127	イモーテルの技花	240817	5	339	1	100			0	
128	エルダーフラワーの装花	248602	1	344	1	0			0	
129	エルダーフラワーの技花	248601	5	344	1	100			0	
130	マネッチアの装花	214702	1	349	1	0			0	
131	マネッチアの技花	214701	5	349	1	100			0	
132	スイートウィリアムの装花	251804	1	353	1	0			0	
133	スイートウィリアムの技花	251803	5	353	1	100			0	
134	ニリンソウの装花	212906	1	357	1	0			0	
135	ニリンソウの技花	212905	5	357	1	100			0	
136	コマチソウの装花	231802	1	362	1	0			0	
137	コマチソウの技花	231801	5	362	1	100			0	
138	ブバルディアの装花	214704	1	366	1	0			0	
139	ブバルディアの技花	214703	5	366	1	100			0	
140	ペンステモンの装花	254404	1	370	1	0			0	
141	ペンステモンの技花	254403	5	370	1	100			0	
142	ギンバイソウの装花	227602	1	375	1	0			0	
143	ギンバイソウの技花	227601	5	375	1	100			0	
144	モケの装花	211908	1	379	1	0			0	
145	モケの技花	211907	5	379	1	100			0	
146	エケベリアの装花	228102	1	383	1	0			0	
147	エケベリアの技花	228101	5	383	1	100			0	
