1	1000000	歌声は風に乗って	うたごえはかぜにのって	6	1	normal	135	90	45	25	36	10	るるる　ららら<br>箒のリズムに、歌声が乗る。<br>小さく淡く、けれど確かな、希望の歌。<br>面と向かって歌うのは、<br>まだちょっとだけ恥ずかしいけど、<br>いつか貴方にこの歌が、この歌の意味が届きますように。	
2	1000001	その足元にご用心？	そのあしもとにごようじん	6	2	normal	120	90	66	25	18	10	いらっしゃいませ、美味しいよ☆<br>煮てよし、焼いてよし、生はちょっと危険かも？<br>キノコ祭りは大盛況、出張レストランも絶好調。<br>そんな空気と美味しいキノコに浮き足立って、<br>ああ、彼女は忘れてしまっていたのです。<br>不幸を引き寄せてしまう、哀しい己の体質を……。	
3	1000002	はにかみ屋の勇気	はにかみやのゆうき	6	3	normal	131	90	42	25	39	10	あなたと二人、素敵なカフェへ。<br>内気で弱気で、目も合わせられなかったりするけれど、<br>前髪をちょっと避けたその先に、<br>あなたの優しいまなざしが見えたから。<br>今日はほんのちょっとだけ、<br>大胆な事をしてみたいのです。	
4	1000003	貴方だけのパティシエール	あなただけのぱてぃしえーる	6	4	normal	105	90	72	25	17	10	にぎやかな声と、甘い甘いお菓子の香り。<br>お菓子作りに必要なのは、正確さと繊細さ。<br>そして一番大事なのは、大好きな人への一途な気持ち。<br>あなたの「おいしい」が聞きたいから、<br>今日もパティシエールは腕を振るうのです。	
5	1000004	口惜しさと優しさ	くちおしさとやさしさ	6	5	early	120	90	66	25	18	10	たとえ今は未熟で、生傷が絶えなくても。<br>抑えきれない悔しさに、棘を出してしまっても。<br>降りそそぐ優しさに、すぐには気づけなくても……。<br>何時の日か、君は必ず強くなる。<br>大輪の花が咲く日は、きっと遠くない。	
6	1000005	晴れの装い	はれのよそおい	6	6	early	131	90	66	24	15	10	普段自分に無頓着な君に、特別な装いを。<br>綺麗な服で一緒に歩いて、手を合わせて願いを込めて。<br>その後は、二人でお茶でもしたりして。<br>今を生きる幸せを、少しでも感じてくれたら嬉しいな。<br>君ありて幸福、これからも、ずっと。	
7	1000006	愛の教育者	あいのきょういくしゃ	6	7	normal	173	90	42	25	27	10	"力は己で制し、従えるもの。 <br>それを目で、肌で、しっかり学んでほしいのです。 <br>この世界に愛されたあなたが、 <br>この世界を愛せるように。 <br>運命を嘆かず、力を厭わず、 <br>いつか、大切な人と巡り合えるように。"	
8	1000007	おともだち談義	おともだちだんぎ	6	8	normal	90	90	63	25	30	10	わたしのこの子は、とっても大事な子なんだよ。<br>嬉しいときも、悲しいときも、<br>ずっと一緒にいてくれた。<br>きみのその子は、どんな子なの？<br>わたしのこの子と、仲良くしてくれるかな？<br>教えて教えて、きみの大事なお友達のこと。	
9	1000008	偶然の雨宿り	ぐうぜんのあまやどり	6	9	normal	101	90	72	25	18	10	不意の雨には打つ手がなくて、傘を持たずに大慌て。<br>逃げ込む先はカフェの軒先。<br>傘持つ仲間を待つ間、周囲を見れば知った顔。<br>怪盗、探偵、そろい踏み。<br>つまり、これも一種の事件現場なのだ。	
10	1000009	パジャマDeパーティー	ぱじゃまでぱーてぃ	6	10	normal	98	90	72	25	20	10	たまの休日、優雅な時間。<br>お気に入りの部屋と、お気に入りのパジャマ。<br>読みかけの本、大好きなぬいぐるみ、<br>香り高いお茶と、美味しいおやつ！<br>みんなのお気に入りを持ち寄って、<br>素敵な時間を過ごしましょ？	
