1	1	0	ウィンターローズ	雪原の世界花	中心街を世界花の結界に守られている都市国家。<br>真っ白な森や広大な氷結湖、天然のクリスタルが散見される遺跡など、<br>美しい雪景色は観光スポットとして注目を集めることも多い。<br>一方、それらは過酷な自然環境の証でもあり、街から一歩出れば豪雪地帯が待っている。<br>そんな中で暮らす人々は忍耐強く、ある意味で頑固者とも呼ばれ、<br>花騎士の中にも気骨があり、一本気な性格の者が多い。<br>この国の女王は幻想的な雰囲気に包まれたロマンティストであり、<br>害虫の脅威をなくすという人々の夢のため、自ら花騎士となり戦線に赴いている。	0	0	0
2	2	0	バナナオーシャン	常夏の世界花	輝くような海に囲まれた都市国家。<br>常に真夏のような気温で日差しが強いものの、心地よい海風と<br>巨大なバショウの葉が落とす影で快適に過ごすことができ、居住地としても観光地としても人気が高い。<br>また陽気な国民性から年中お祭り事が開催され、女王の葬儀すら騒がしく行われるが、<br>「苦難を身近なものと捉え、祭りというかたちで受け止める」という想いがここには込められている。<br>そうした賑やかな側面を持つ一方、交通手段の技術水準が高い国としても知られており、<br>船舶のほか、熱気球や飛行船といった空の移動手段もかつてベルガモットバレーと共同で開発された。	0	0	1
3	3	0	ブロッサムヒル	知徳の世界花	スプリングガーデン最大級の都市国家。<br>千年前、伝説の勇者を介して初めて『花騎士』と呼ばれる存在が誕生した地であり、<br>それまで為す術もなかった害虫の脅威に対する反撃の拠点として発展していった。<br>気候は一年を通して穏やかであり、土地が開けていることもあって比較的暮らしやすい。<br>城下町には初代花騎士の名を冠したフォス騎士団学校をはじめ、<br>大図書館や学問所、闘技場など花騎士にとって有用な施設が充実しているほか、<br>盛んな交易によって流入される様々な物資が市場を賑わせている。<br>また郊外には田園や果樹園も見受けられ、それらを輸送する花騎士の部隊も存在する。	0	0	0
4	4	0	ベルガモットバレー	風谷の世界花	急峻な渓谷地帯に根付く世界花を中心として栄える都市国家。<br>空中都市とも呼ばれる段丘の街並みや、女王の統治が行き届いていない秘境があるなど、<br>平地に街を築く他の国家とは様々な点で趣を異にする。<br>その独特な自然環境は多くの技術向上を促し、水位や風力を利用した装置のほか、<br>バナナオーシャンとの共同開発では飛空船の実用化を成し遂げたが、<br>基礎となる技術体系を築いたのはたったひとりの天才発明家だという。<br>快適性のために自然を制御しようとする側面が見受けられる一方で、<br>秋に実る果物等は国内だけの需要にとどまらず、観光客を呼び寄せる目玉となっている。	0	0	0
5	5	0	リリィウッド	深い森の世界花	自然との共生が思想として根付いている都市国家。<br>その歴史はスプリングガーデンでも特に長く、儀礼としきたりを重んじる傾向が強い。<br>女王の他に決議権を持つ元老院があり、何事にも慎重な採決の場が設けられるものの、<br>若い花騎士たちの中には即断即決による改革を望む者もいる。<br>街道や建築物は自然をそのまま利用したものがほとんどで、<br>森の中に溶け込むような街並みには心を癒される者が多い半面、<br>騎士団による巡回警備が行き届かない区域も少なからず存在する。<br>西の荒野と接する国でもあるため、美しい景観とは裏腹に、厳しい戦況が続いている。	0	0	0
6	6	0	コダイバナ	枯れた世界花	スプリングガーデンで最初に害虫が発生したとされる亡国。<br>世界花の恩恵を失ったことにより、地は裂け、水は濁り、空気は汚染され、<br>その全土は人が住めないほどに荒廃し、かつて栄えていたという国の面影はどこにもない。<br>今となっては害虫の総本山と恐れられ、<br>討伐に向かったまま行方をくらませた騎士団は数知れず、<br>ベルガモットバレー、リリィウッドの国境を猛毒のように侵蝕し続けている。<br>千年前の悲劇の背景には、死にゆく世界の支配者なる存在が示唆されているものの、<br>古くからの伝承の解釈は多岐にわたり、真実を知る者はほんの一握りと言われている。	0	0	1
7	7	0	ロータスレイク	湖畔の世界花	スプリングガーデン南東に位置する都市国家。<br>枯れた世界花から最も遠いこの国は現在、他国との交流がほとんどない。<br>人の行き来を阻むように広大な湖や湿地帯が境界線を成しており、<br>断崖のせいで、海側からのアプローチも南部の港町以外ほぼ不可能となっている。<br>国土の大半が湖で、人々は巨大な蓮の葉の上に街を築いて生活しており、<br>主に漁業や山葵の水耕栽培を日々の生活の糧としている。<br>また、その独特な地形から攻め入ってくる害虫が限られているため、<br>防衛戦略は洗練されており、少ない戦力でも迎撃できる術を持っている。	0	0	1
8	8	0	カレンサス	灼熱の砂漠	スプリングガーデンの外に存在するとされる大国のひとつ。<br>水源がほぼ存在しない広大な砂漠の中にあり、<br>その国土は岩と砂に覆われて乾ききっている。<br>世界花も無く、遥か昔に厄災で滅亡したはずの国家だが、<br>人々は“何かの力”を借りて細々と生き続けているらしく……？	0	0	1
100	100	1	世界花「ウィンターローズ」		雪原の世界花。氷のように透き通っている。<br>人々の主要な生活圏はこの美しい花の魔力結界に覆われている。<br>天然のクリスタルが豊富に存在し、それを使った工芸品が有名。<br>その寒さから様々な行動に制限が生じる環境で、人々は最大限の工夫を凝らしながら暮らしている。	469	354	0
101	101	1	ナイドホグル雪原		普段は美しい雪景色を見せるが、不定期で吹雪が起きる雪原。<br>その脅威は凄まじく、ウィンターローズの人間でさえも生命を落とす者が少なくない。<br>吹雪が起きる度にその景観を変えることから「白き悪魔」の異名を持つ。	252	317	0
102	102	1	閉ざされたお屋敷		雪原を越えた森の近くに、三人の女の子が暮らすというお屋敷がありました。<br>一人は元気でやんちゃな子。いつも遊ぶことばかり考えています。<br>一人は面倒見の良い子。だけど、ほかの二人にちょっと振り回されがちです。<br>そして一人は、とても美しいお姫様。不思議な力を持つせいで、ここに閉じ込められました。<br>……でも本当は、どんな人がここに住んでいるのか、実は誰も知らないのです。<br>確かめに行った人もいましたが、皆、雪だるまにされてしまったそうな。（ウィンターローズ童話より）	224	275	0
103	103	1	封印大氷壁		ウィンターローズの北部にある、巨大な雪山が周囲を取り囲む地域。<br>絶え間なく死の吹雪が吹き荒れ、<br>ウィンターローズに住む者はおろか害虫すらも近寄ろうとはしない。<br>伝承によると、千年前、勇者がその強大な魔力をもって<br>この地に多くの凶悪な害虫を封印したといわれる。	404	167	0
104	104	1	フヴァの氷結湖		ウィンターローズのやや南西に位置する氷結湖。モズ森林区とも近い。<br>地下深くには、古の時代に猛威を振るった恐るべき”何か”が封印されているという。<br>その巨体は想像を絶し、胴体だけでもナイドホグル雪原まで続くと伝承されている。	300	443	1
105	105	1	ダインの遺跡		古代の賢人ダインが大いなる力を封印したとされる遺跡。<br>高くそびえる塔が目印。<br>今は遺跡全てが氷に覆われていて中に入ることが出来ず、その外見しか見ることが出来ない。<br>別名「氷の神殿」とも呼ばれ、ウィンターローズの観光スポットになっている。	698	314	0
106	106	1	モズ森林区		リリィウッドとの国境付近に位置する、ウィンターローズ最南端の森林区。<br>寒さに強い種の害虫が数多く確認されている。<br>伝承によれば森林の奥地は死者の国へ通じており、<br>あの世への案内役を務めるモズという巨人族の娘が住んでいるとされる。	425	428	1
107	107	1	霊峰		ウィンターローズの南に位置する霊峰。その山脈はブロッサムヒルへと続く。<br>古来より修行の場としても名高く、今日でも己の技を磨かんとする修行者が絶えない。<br>ここで精進すると「霊峰のお告げ」が聞けるという噂もあるが、真偽の程は定かでない。	699	441	1
108	108	1	ブロッサムヒル外郭		ブロッサムヒル、ウィンターローズ、リリィウッドの国境が入り交じる区域。<br>その特異な地理から街や集落が存在せず、<br>また各国とも調査や警備に消極的であり、害虫の出現が後を絶えない。	840	539	1
109	109	1	イオル外郭		リリィウッド領北部に位置する、ウィンターローズとの国境区域。<br>周囲に街や集落が存在しないため、<br>リリィウッド市街地からの物資輸送が欠かせない。<br>ミズの回廊に伝わる“何か”の一部がこの地域の地下に封印されているらしい。	438	576	1
110	110	1	グリドの白き森淵		ウィンターローズ最北端に位置する白銀の森林地帯。<br>スプリングガーデンの最果てとも呼ばれ、<br>世界花から遠く離れているにも関わらず強い魔力が渦巻く。<br>そのせいか凶悪な害虫が多く住み着いており、奥地は第一級危険区域に指定されている。	238	175	0
111	111	1	エトゥ神殿		ウィンターローズとベルガモットバレーの国境付近にある神殿。<br>主には祈願成就のため、年始めに訪れる客が多い。<br>スプリングガーデンには様々な様式の神殿が存在するが、<br>秘境めいた立地からか、この神殿の伝統的な風習である「お賽銭」はあまり浸透していないようだ。	245	475	1
112	112	1	フィユル川		ウィンターローズ最北東を流れる川。<br>スプリングガーデンで最も冷たい川として知られ、誤って落ちたら命はないと言われている。<br>水面に浮かぶ流氷はなかなか溶けず、一般的な商隊でもバナナオーシャンまで保つようだ。<br>また、この周辺には地図にない町があるらしい。<br>事情は定かでないものの、この僻地で温泉が湧いたとの噂もあり、一部で注目を集めているとか。	664	228	0
113	113	1	ギオル川		ウィンターローズ中心街からフヴァの氷結湖へと至る川。<br>人里の少ない広漠な雪原地帯においては貴重な道標であり、<br>騎士団の間でも、基本的にはこの川が見えなくなる以上の距離へは<br>行軍しないことになっている。	365	380	0
114	114	1	エルモズ山麓		ウィンターローズ霊峰からモズ森林区方面へと広がる境界部。<br>もともとは森林を追われた弱い害虫たちがたどり着く墓場であったが、<br>長い年月を経てこの過酷な環境に適応する種が誕生し、現在は森林地帯よりも危険視されている。<br>その中でも特に力のある個体は、何かに導かれるようにして霊峰の頂上を目指し始めるという。	590	440	1
200	200	2	世界花「バナナオーシャン」		常夏の世界花。<br>太い幹と大きな葉が特徴で、この日影で中心街は比較的過ごしやすい。<br>一年中続く真夏のような気温と陽気な国民性で常に賑わいを見せ、<br>毎日のようにお祭り事が開催されている。<br>特に世界花が実をつける夏期は盛大に盛り上がり、観光客も多く訪れる。	476	371	1
201	201	2	ラカタンビーチ		バナナオーシャンの南東に位置する、白い砂浜が特徴のビーチ。<br>多くのマリンレジャーが楽しめるため、人気の観光スポットになっている。<br>家族連れからカップルまで、老若男女が楽しめるスポットとあってか、人の賑わいが絶えない。	612	454	1
202	202	2	リゾート都市プラタノ		中心部から南へ降りた場所にある都市。<br>バナナオーシャンの中でも高級リゾート地として知られている。<br>水上コテージから眺める夕日は絶景の一言。<br>ラカタンビーチとは対照的に、海辺で静かに過ごしたい観光客が集まっている。	465	536	1
203	203	2	ヘーオスの密林		バナナオーシャンの南西に位置する場所。<br>背の高い木々が生い茂っており、中に入ると昼でも薄暗く感じられる。<br>海の上にもいくつか島があり、それらも含めて密林地帯、と称される。<br>害虫の出現率は高く、他の国に比べカラフルな体表をしているのが特徴。<br>暑さに強い種が多いことが確認されている。	309	417	1
204	204	2	富と誇りの遊歩道		北はウィンターローズから南はバナナオーシャンまで、<br>リリィウッド国土を縦断するように整備された街道。<br>多くの商人が行き交うことから名付けられたが、<br>市民や旅人、騎士団関係者など、利用する人々の顔ぶれは様々である。	476	125	0
205	205	2	ギャヴェンの双子碑文		海を見渡しているかのように存在する二つの碑文と、それを取り囲む建造物。<br>いつ、誰が、何の目的で建造したのか。その記録はバナナオーシャンの王室にも存在せず、<br>碑文に刻まれた文字はいまだにほとんどが解読不能だという。<br>一説によると、大昔に滅びた国で使用されていた言語が基盤となっているらしいが……。	643	168	0
206	206	2	ダイダイ灯台		バナナオーシャンに出入りする船を照らす灯台。その光は海の向こうにある国まで届くという。<br>船舶に関わる者だけでなく、ジャングルの中に集落を構える人々からも愛され、<br>暗闇を照らすその光は「夜の太陽」と親しみを込めて呼ばれることも多い。<br>害虫の標的にもなりやすいため、警備体制は厳重である。	587	269	0
207	207	2	ティエト・ピィエン島		バナナオーシャンを取り巻く諸島の一部。<br>東のティエト島、西のピィエン島はそれぞれ別の島と考えられていたが、<br>ツガイとして行動する害虫がどちらの島にも生息していたため、<br>もともとはひと繋がりの島だったのではないか、と考えられるようになった。<br>海を越えて再会した害虫のツガイは、さらに勢力を広めているという……。	270	340	1
208	208	2	エムオン島		バナナオーシャンの小島群では最大の、南西に浮かぶ島。<br>かつては一部ビーチがバカンスを楽しむ人々に開放されていたが、<br>対古代害虫用兵器「クジラ艇」の開発および発着のための島として再整備された。<br>滅びの荒野を臨む南の島から今、希望の船が飛び立つ。	199	450	1
