11401	1	1	4	ナイドホグル雪原(強化霊)	300000	1	11401	20	50
11402	1	1	4	ナイドホグル雪原(進化竜)	300000	1	11402	20	50
11501	1	1	5	ナイドホグル雪原(強化霊)	400000	2	11501	30	30
11502	1	1	5	ナイドホグル雪原(進化竜)	400000	2	11502	30	30
11503	1	1	5	ナイドホグル雪原(贈り物)	300000	2	11503	30	30
11504	1	1	5	ナイドホグル雪原(ゴールド)	300000	2	11504	30	30
11601	1	1	6	ナイドホグル雪原(贈り物)	400000	3	11601	30	20
11602	1	1	6	ナイドホグル雪原(ゴールド)	400000	3	11602	30	20
12401	1	2	4	ナイドホグル雪原(強化霊)	900000	1	12401	30	50
12501	1	2	5	ナイドホグル雪原(強化霊)	1000000	2	12501	30	30
12502	1	2	5	ナイドホグル雪原(開花素材)	1000000	2	12502	30	30
12503	1	2	5	ナイドホグル雪原(贈り物・咲)	1000000	2	12503	30	30
12504	1	2	5	ナイドホグル雪原(ゴールド)	1000000	2	12504	30	30
12601	1	2	6	ナイドホグル雪原(強化霊)	1100000	3	12601	40	20
12602	1	2	6	ナイドホグル雪原(開花素材)	1100000	3	12602	40	20
12603	1	2	6	ナイドホグル雪原(贈り物・咲)	1100000	3	12603	40	20
12604	1	2	6	ナイドホグル雪原(霊獣、覚醒竜)	1100000	3	12604	40	20
13401	1	3	4	ナイドホグル雪原(霊獣、覚醒竜)	1300000	1	13401	40	50
13501	1	3	5	ナイドホグル雪原(霊獣、覚醒竜)	1400000	2	13501	40	30
13502	1	3	5	ナイドホグル雪原(ゴールド)	1400000	2	13502	40	30
13601	1	3	6	ナイドホグル雪原(霊獣・上)	1600000	3	13601	40	20
13602	1	3	6	ナイドホグル雪原(オキタエール、イロドール)	1500000	3	13602	40	20
21401	2	1	4	古代バナナ遺跡(強化霊)	300000	4	21401	20	50
21402	2	1	4	古代バナナ遺跡(進化竜)	300000	4	21402	20	50
21501	2	1	5	古代バナナ遺跡(強化霊)	400000	5	21501	30	30
21502	2	1	5	古代バナナ遺跡(進化竜)	400000	5	21502	30	30
21503	2	1	5	古代バナナ遺跡(贈り物)	300000	5	21503	30	30
21504	2	1	5	古代バナナ遺跡(ゴールド)	300000	5	21504	30	30
21601	2	1	6	古代バナナ遺跡(贈り物)	400000	6	21601	30	20
21602	2	1	6	古代バナナ遺跡(ゴールド)	400000	6	21602	30	20
22401	2	2	4	古代バナナ遺跡(強化霊)	900000	4	22401	30	50
22501	2	2	5	古代バナナ遺跡(強化霊)	1000000	5	22501	30	30
22502	2	2	5	古代バナナ遺跡(開花素材)	1000000	5	22502	30	30
22503	2	2	5	古代バナナ遺跡(贈り物・咲)	1000000	5	22503	30	30
22504	2	2	5	古代バナナ遺跡(ゴールド)	1000000	5	22504	30	30
22601	2	2	6	古代バナナ遺跡(強化霊)	1100000	6	22601	40	20
22602	2	2	6	古代バナナ遺跡(開花素材)	1100000	6	22602	40	20
22603	2	2	6	古代バナナ遺跡(贈り物・咲)	1100000	6	22603	40	20
22604	2	2	6	古代バナナ遺跡(霊獣、覚醒竜)	1100000	6	22604	40	20
23401	2	3	4	古代バナナ遺跡(霊獣、覚醒竜)	1300000	4	23401	40	50
23501	2	3	5	古代バナナ遺跡(霊獣、覚醒竜)	1400000	5	23501	40	30
23502	2	3	5	古代バナナ遺跡(ゴールド)	1400000	5	23502	40	30
23601	2	3	6	古代バナナ遺跡(霊獣・上)	1600000	6	23601	40	20
