1	1	151	2016-07-12 00:00:00	2016-08-01 14:30:00	swanrace.swf	0001	0	0	0			
2	2	159	2016-08-22 00:00:00	2016-09-12 14:30:00	swanrace.swf	0001	0	0	0			
3	3	167	2016-09-30 00:00:00	2016-10-24 14:30:00	swanrace2_001.swf	0001	0	0	0			
4	4	185	2016-12-07 00:00:00	2017-01-02 14:30:00	swanrace3_001.swf	0001	0	0	0			
5	5	199	2017-02-02 00:00:00	2017-02-27 14:30:00	swanrace4_001.swf	0001	0	0	0			
6	6	227	2017-04-11 00:00:00	2017-05-08 14:30:00	swanrace5_001.swf	0001	0	0	0			
7	7	250	2017-06-22 00:00:00	2017-07-14 14:30:00	swanrace6_001.swf	0001	0	0	0			
8	8	276	2017-08-31 00:00:00	2017-09-25 14:30:00	swanrace7_001.swf	0001	0	0	0			
9	9	305	2017-11-21 00:00:00	2017-12-18 14:30:00	swanrace8_001.swf	0001	0	0	0			
10	10	348	2018-03-13 00:00:00	2018-04-09 14:30:00	swanrace9_001.swf	0001	0	0	0			
11	11	389	2018-06-21 00:00:00	2018-07-17 14:30:00	swanrace10_001.swf	0001	0	0	0			
12	12	532	2019-02-08 00:00:00	2019-03-11 14:30:00		0001	0	0	0			
13	13	600	2019-05-20 00:00:00	2019-06-17 14:30:00		0001	0	0	0			
14	14	668	2019-08-13 00:00:00	2019-09-09 14:30:00		0001	0	0	0			
15	15	704	2019-09-25 00:00:00	2019-10-21 14:30:00		0001	0	0	0			
16	16	838	2020-03-10 00:00:00	2020-04-06 14:30:00		0001	114705	-250	0	2020-03-16 20:00:00	2020-03-30 12:00:00	
17	17	916	2020-06-30 00:00:00	2020-07-27 14:30:00		0001	124503	-250	0	2020-07-06 20:00:00	2020-07-20 12:00:00	
18	18	1017	2020-10-06 00:00:00	2020-11-02 14:30:00		0001	112701	-250	0	2020-10-12 20:00:00	2020-10-26 12:00:00	
