108500	108500	"生命樹 赤のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2016-10-05 00:00:00"	"2016-10-06 00:00:00"	0	
108501	108501	"生命樹 青のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2016-10-05 00:00:00"	"2016-10-06 00:00:00"	0	
108502	108502	"生命樹 黄のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2016-10-05 00:00:00"	"2016-10-06 00:00:00"	0	
108503	108503	"生命樹 紫のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2016-10-05 00:00:00"	"2016-10-06 00:00:00"	0	
108504	108504	"おでかけ 赤のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2019-05-21 00:00:00"	"2019-05-21 00:00:00"	0	
108505	108505	"まちあわせ 青のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2019-08-02 00:00:00"	"2019-08-02 00:00:00"	0	
108506	108506	"おむかえ 黄のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2019-11-06 00:00:00"	"2019-11-06 00:00:00"	0	
108507	108507	"おめかし 紫のナーエ(庭園)"				8	0	0	0	0	0	0	0	0	0	0	"2020-03-13 00:00:00"	"2020-03-13 00:00:00"	0	
600000	600000	束の間の休息			fkg_bgm_mypage	5	0	0	0	0	0	0	1	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600001	600001	心の安息			fkg_bgm_hscene001	5	0	0	0	0	0	0	2	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600002	600002	団長執務室			fkg_bgm_general001	5	0	0	0	0	0	0	3	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600003	600003	冒険への門出			fkg_bgm_worldmap	5	0	0	0	0	0	0	4	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600004	600004	大草原			fkg_bgm_stage001	5	0	0	0	0	0	0	5	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600005	600005	荒野の探索			fkg_bgm_stage002	5	0	0	0	0	0	0	6	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600006	600006	花騎士調査団			fkg_bgm_stage003	5	0	0	0	0	0	0	7	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600007	600007	古代の秘境			fkg_bgm_stage004	5	0	0	0	0	0	0	8	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
600008	600008	害虫討伐			fkg_bgm_battle001	5	0	0	0	0	0	0	9	0	0	0	"2016-01-05 00:00:00"	"2016-01-05 00:00:00"	0	
