1	パネル説明　トレジャーパネル（ゴールド、ガチャ種、宝箱）　チュートリアル1		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
2	パネル説明　スキルゲージについてパネル　チュートリアル2		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
3	パネル説明　ランダム分岐パネル　ステージID:1003		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
4	戦闘画面　スキルの発動について		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
5	パネル説明　回復の泉　ステージID:1005		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
6	パネル説明　害虫の巣　ステージID:1006		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
7	戦闘画面　超必殺技の発動について		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
8	パネル説明　スタート地点複数可　ステージID:1010		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
9	"パネル説明　自動分岐　ステージID:1031 追加"		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
10	パネル説明　スイッチ　イベントステージID：30000-30030		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
11	パネル説明　旋風と蜘蛛の巣　イベントステージID：30100-30170		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
12	パネル説明　ロックパネル　イベントステージID：30200-30270		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
13	画面説明　ガチャ　チュートリアル中		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
14	パネル説明　ワープパネル　イベントステージID：30300-30370		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
15	初回レイドボス　機能説明チュートリアル		"2014-10-15 00:00:00"	"2014-10-15 00:00:00"	0	
16	初回装備ガチャ　機能説明チュートリアル		"2014-11-20 00:00:00"	"2014-11-20 00:00:00"	0	
17	初回進化　機能説明チュートリアル		"2014-11-20 00:00:00"	"2014-11-20 00:00:00"	0	
18	戦闘画面　アビリティの発動について		"2015-01-06 00:00:00"	"2015-01-06 00:00:00"	0	
19	初回探索　機能説明チュートリアル		"2015-03-26 00:00:00"	"2015-03-26 00:00:00"	0	
20	ステータスアップ　機能説明チュートリアル		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
21	初回ボーナスステージ　機能説明チュートリアル		"2015-03-31 00:00:00"	"2015-04-13 00:00:00"	0	
22	パネル説明　キャノンパネル　イベントID：30700-30770		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
23	初回クエスト　機能説明チュートリアル		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
24	パネル説明　花火砲パネル　イベントID：31400-31470		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
25	パネル説明　虫眼鏡パネル　イベントID：31500-31570		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
26	パネル説明　突撃害虫パネル　イベントID：31700-31770		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
27	パネル説明　拠点パネル　イベントID：31700-31770		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
28	初回装備合成　機能説明チュートリアル		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
29	戦闘画面　弱点属性について		"2015-03-31 00:00:00"	"2015-03-31 00:00:00"	0	
30	パネル説明　BOXガチャポイントパネル　イベントID：31800-31870		"2015-09-30 00:00:00"	"2015-09-30 00:00:00"	0	
