1	サルビア	0	
2	アマリリス	0	
3	パープルパンジー	1	
4	ヒマワリ	0	
5	イブキトラノオ	0	
6	マーガレット	0	
7	イチゴ	1	
8	ユキヤナギ	1	
9	ミント	1	
10	シクラメン	1	
11	シロツメクサ	0	
12	ヘリコニア	0	
13	ホワイトパンジー	0	
14	ロイヤルプリンセス	0	
15	ノヴァーリス	0	
16	アルストロメリア	1	
17	イエローパンジー	0	
18	クレナイ	0	
19	アジサイ	0	
20	グラジオラス	0	
21	キキョウ	0	
22	アカバナスイレン	0	
23	ヒルガオ	0	
24	アサガオ	0	
25	レンゲソウ	0	
26	コチョウラン	0	
27	マリーゴールド	0	
28	ブルーロータス	1	
29	サザンカ	0	
30	センニチコウ	0	
31	キンモクセイ	0	
32	ジャスミン	0	
33	カーネーション	0	
34	カサブランカ	0	
35	アブラナ	1	
36	セントポーリア	0	
37	ハイビスカス	0	
38	ヒノキ	1	
39	ハクモクレン	0	
40	ワレモコウ	1	
41	タンポポ	0	
42	ヤグルマギク	0	
43	スノーフレーク	0	
44	スイートピー	0	
45	イエローチューリップ	0	
46	パープルチューリップ	0	
47	ホワイトチューリップ	0	
48	ギンラン	1	
49	ライラック	0	
50	ツバキ	1	
51	オンシジューム	1	
52	シンビジューム	0	
53	ヨルガオ	0	
54	ヤマユリ	0	
55	オトメユリ	1	
56	スズラン	1	
57	スミレ	0	
58	コスモス	1	
59	ラベンダー	1	
60	ホトトギス	1	
61	エーデルワイス	0	
62	レッドチューリップ	0	
63	バラ	0	
64	ブラックバッカラ	1	
65	デンドロビウム	1	
66	カトレア	1	
67	レッドジンジャー	0	
68	スイレン	1	
69	サボテン	1	
70	ウメ	1	
71	サクラ	1	
72	クロユリ	1	
73	レシュノルティア	0	
74	ヒメユリ	0	
75	タチバナ	0	
76	モモ	1	
77	ハナモモ	1	
78	キルタンサス	0	
79	アネモネ	1	
80	ガーベラ	0	
81	チョコレートコスモス	1	
82	ストロベリーキャンドル	0	
83	リューココリーネ	0	
84	ハナミズキ	0	
85	アイリス	0	
86	アンスリウム	0	
87	デージー	0	
88	エノコログサ	0	
89	ジャーマンアイリス	0	
90	ゼラニウム	1	
91	ヤマブキ	1	
92	サクランボ	0	
93	オトギリソウ	0	
94	ルピナス	0	
95	サザンクロス	0	
96	チェリーセージ	0	
97	ゲッカビジン	1	
98	ハナショウブ	0	
99	ナデシコ	1	
100	カンナ	0	
101	イオノシジウム	0	
102	カタバミ	1	
103	ダリア	1	
104	ネリネ	1	
105	サンゴバナ	0	
106	クチナシ	0	
107	カラー	0	
108	ディプラデニア	1	
109	オオオニバス	1	
110	ツキミソウ	1	
111	オシロイバナ	1	
112	ヒガンバナ	1	
113	エピデンドラム	0	
114	キンギョソウ	1	
115	ギンリョウソウ	1	
116	ハリエンジュ	0	
117	サンカクサボテン	1	
118	ススキ	0	
119	ウサギノオ	0	
120	ルナリア	0	
121	キンレンカ	0	
122	ローレンティア	0	
123	ヘレニウム	1	
124	ガイラルディア	0	
125	ユーカリ	0	
126	イチョウ	0	
127	モミジ	1	
128	スズランノキ	0	
129	リュウゼツラン	0	
130	フォックスフェイス	0	
131	ランタナ	0	
132	ペポ	1	
133	リンドウ	0	
134	ペンタス	0	
135	エキナセア	0	
136	ビオラ	1	
137	ヤツデ	0	
138	リンゴ	1	
139	アイビー	1	
140	ヤドリギ	0	
141	サンダーソニア	0	
142	モミノキ	0	
143	ポインセチア	0	
144	クリスマスローズ	0	
145	ホーリー	0	
146	センリョウ	0	
147	ナンテン	0	
148	ハボタン	0	
149	マンリョウ	1	
150	マツ	0	
151	ボタン	0	
152	ユリ	1	
153	シャクヤク	1	
154	フクジュソウ	0	
155	アカシア	0	
156	ヘリオトロープ	0	
157	ポピー	0	
158	レインリリー	0	
159	ベロニカ	0	
160	バルーンバイン	1	
161	ラナンキュラス	0	
162	ヒメシャラ	0	
163	ベルゲニア	0	
164	ニシキギ	0	
165	プリムラ	0	
166	ロウバイ	0	
167	ゼフィランサス	0	
168	トリカブト	1	
169	デルフィニウム	0	
170	ローズマリー	0	
171	ミモザ	0	
172	サイネリア	0	
173	ホップ	0	
174	ヘザー	0	
175	アプリコット	1	
176	ヨモギ	0	
177	シンクライリアナ	0	
178	ナナカマド	0	
179	アスター	0	
180	カラスウリ	0	
181	サフラン	1	
182	ラッセリア	0	
183	アロエ	1	
184	リリオペ	0	
185	スノードロップ	1	
186	サツキ	0	
187	カイコウズ	0	
188	シオン	0	
189	リシアンサス	0	
190	イベリス	1	
191	ベラドンナ	0	
192	ワスレナグサ	0	
193	グリーンベル	0	
194	アリウム	0	
195	タチアオイ	0	
196	アリッサム	0	
197	オキザリス	0	
198	イヌタデ	1	
199	ハブランサス	0	
200	フクシア	0	
201	クフェア	0	
202	バンテイシ	1	
203	ヒメリュウキンカ	0	
204	ライオンゴロシ	0	
205	プルメリア	1	
206	スイギョク	0	
207	イカリソウ	0	
208	エニシダ	1	
209	シーマニア	0	
210	クレマチス	0	
211	キヌタソウ	0	
212	ホオズキ	0	
213	サオトメバナ	0	
214	ハツユキソウ	1	
215	ウキツリボク	0	
216	ナイトメア(カタクリ)	0	
217	エウカリス	0	
218	フジバカマ	0	
219	ツキトジ	0	
220	ハギ	0	
221	ツユクサ	0	
222	カルセオラリア	0	
223	アカンサス	0	
224	シロタエギク	1	
225	ストレリチア	0	
226	ランプランサス	0	
227	ハゼ	0	
228	コキア	0	
229	シャボンソウ	0	
230	メイゲツカエデ	0	
231	ヒトリシズカ	0	
233	ニゲラ	0	
234	ブルーエルフィン	0	
235	キウイ	0	
236	パイナップル	0	
237	ビワ	0	
238	ミカン	0	
239	ポーチュラカ	0	
240	ワタチョロギ	0	
241	クリスマスベゴニア	0	
242	スキミア	0	
243	ユズリハ	0	
244	オリーブ	0	
245	ローダンセ	0	
246	セリ	0	
247	ユキノシタ	0	
248	ゴギョウ	0	
249	ハコベラ	0	
250	アナベル	0	
251	プロテア	0	
252	オトメギキョウ	0	
253	キリンソウ	0	
254	リカステ	0	
255	オニユリ	0	
256	ハートカズラ	0	
257	カカオ	0	
258	ヨウラクボタン	0	
259	カキツバタ	0	
260	ザクロ	0	
261	ハス	1	
262	ラミウム	0	
263	オナモミ	0	
264	ハナイ	1	
265	ニチニチソウ	0	
266	フリージア	0	
267	モルチアナ	0	
268	アンリ(バイカカラマツ)	0	
269	ピラカンサ	0	
270	サンタンカ	0	
271	クルクマ	0	
272	イモーテル	0	
273	リンデルニア	0	
274	コデマリ	1	
275	サラセニア	0	
276	オジギソウ	1	
277	エルダーフラワー	0	
278	ピンポンマム	0	
279	シャムサクララン	0	
280	リムナンテス	0	
282	マネッチア	0	
283	カカリア	0	
284	ガザニア	0	
285	スイートウィリアム	0	
286	アキレア	1	
287	ルドベキア	0	
288	マロニエ	0	
289	ニリンソウ	0	
290	クモマグサ	0	
291	パキラ	0	
292	リシマキア	0	
293	セルリア	1	
294	コマチソウ	0	
