1	1	攻撃力上昇
2	2	1ターン目の攻撃力上昇
3	3	ソーラードライブ回数に応じて攻撃力上昇
4	4	攻撃力に、移動力の一部を追加
5	6	スキルLvに応じて攻撃力上昇
6	7	攻撃力が戦闘開始時の敵の数に応じて上昇
7	7	敵が少なくなるほど攻撃力上昇
8	8	戦闘スキル発動に応じて自身の攻撃力上昇
9	9	ボス敵との戦闘中、攻撃力が上昇
10	10	攻撃を受けた次ターンの与ダメージ上昇
11	11	ボスに与えるダメージ増加
12	1201	斬属性弱点の敵に対して弱点が発動
13	1202	打属性弱点の敵に対して弱点が発動
14	1203	突属性弱点の敵に対して弱点が発動
15	1204	魔属性弱点の敵に対して弱点が発動
16	37	斬、打属性弱点の敵に対して弱点が発動
17	37	斬、突属性弱点の敵に対して弱点が発動
18	37	斬、魔属性弱点の敵に対して弱点が発動
19	37	打、突属性弱点の敵に対して弱点が発動
20	37	打、魔属性弱点の敵に対して弱点が発動
21	37	突、魔属性弱点の敵に対して弱点が発動
22	37	斬、打、突属性弱点の敵に対して弱点が発動
23	37	斬、打、魔属性弱点の敵に対して弱点が発動
24	37	斬、突、魔属性弱点の敵に対して弱点が発動
25	37	打、突、魔属性弱点の敵に対して弱点が発動
26	37	斬、打、突、魔属性弱点の敵に対して弱点が発動
27	13	スキル発動率上昇
28	13	攻撃を受けた次ターンのスキル発動率上昇
29	14	1ターン目のスキル発動率上昇
30	15	クリティカル攻撃発生率上昇
31	15	クリティカルダメージ上昇
32	16	敵に攻撃を行った後、追撃する
33	16	敵に攻撃を与えた後、確率で再行動
34	17	1ターン目に100%の確率で再行動
35	18	防御力、防御時のダメージ軽減率上昇
36	19	確率で敵の攻撃を回避
37	20	ダメージを無効化
38	21	攻撃を受けた時、防御力を攻撃力に変換し反撃
39	22	HP回復
40	23	ソーラードライブの効果上昇
41	24	パーティの移動力増加
42	26	移動力増減パネル無効
43	27	回復パネル設置
44	28	陽力の祭壇パネル設置
45	29	レインボーパネル設置
46	30	回復パネルの効果上昇
47	31	ダメージギミックパネル通過でHP回復
48	32	敵の攻撃力低下
49	33	敵が攻撃をミスする確率上昇
50	34	敵のスキル発動率低下
51	35	キャノンパネル効果上昇
52	36	強化合成用、合成時経験値上昇
53	37	パーティメンバーの属性の種類に応じて攻撃力が上昇
54	38	攻撃力がターン経過に応じて上昇
55	39	弱点属性の敵に対するダメージ上昇
56	41	敵の攻撃対象を自身に引きつける
57	43	敵の防御力低下
58	45	一定確率で敵の行動回数低下
59	46	回避時に迎撃が発動
60	13	スキルダメージ上昇
61	22	戦闘スキルにHPを吸収する効果を追加
62	49	敵のクリティカル率低下
63	19	特殊回避
64	43	敵の被ダメージ上昇
65	21	反撃ダメージ上昇
66	10	与ダメージ上昇
82	19	特殊回避
83	43	敵の被ダメージ上昇
84	21	反撃ダメージ上昇
10001	36	斬属性の花騎士は攻撃の度に攻撃力上昇
10002	36	打属性の花騎士の数×3回までダメージ無効化
10003	36	突属性の花騎士は攻撃の度にクリティカル発生率上昇
10004	36	魔属性の花騎士は攻撃の度に命中率上昇
10005	36	各属性の花騎士1人が特殊なアビリティを持つ
10051	36	知徳の力　ブロッサムヒルの花騎士
10052	36	深い森の力　リリィウッドの花騎士
10053	36	常夏の力 バナナオーシャンの花騎士
10054	36	風谷の力 ベルガモットバレーの花騎士
10055	36	雪原の力 ウィンターローズの花騎士
10056	36	湖畔の力 ロータスレイクの花騎士
10061	13	3回スキル
20001	15	クリティカルを合計10回目指そう
20002	15	攻撃を受けた時、反撃???
20003	21	反撃ダメージ上昇???
