2000	夢見る少女の甘い憧れ	レベル10以上		1	2001	0	131901	36	0	10	0	"2015-07-22 00:00:00"	"2015-07-24 00:00:00"	0		
2001	新しい夢に向かって	レベル30以上		2	2002	0	131901	36	0	30	0	"2015-07-22 00:00:00"	"2015-07-24 00:00:00"	0		
2002	イチゴと一緒に歩く道	進化済み	キャラ専用装備	3	0	1	131902	36	0	1	1	"2015-07-22 00:00:00"	"2015-07-24 00:00:00"	0		
2003	その手の中に残るもの	レベル10以上		1	2004	0	141101	49	0	10	0	"2015-08-04 00:00:00"	"2015-08-06 00:00:00"	0		
2004	花騎士とは何か	レベル30以上		2	2005	0	141101	49	0	30	0	"2015-08-04 00:00:00"	"2015-08-06 00:00:00"	0		
2005	ミントの騎士道	進化済み	キャラ専用装備	3	0	9	141102	49	0	1	1	"2015-08-04 00:00:00"	"2015-08-06 00:00:00"	0		
2006	貴族ですから！	レベル10以上		1	2007	0	132001	41	0	10	0	"2015-09-07 00:00:00"	"2015-09-24 00:00:00"	0		
2007	一歩先の私	レベル30以上		2	2008	0	132001	41	0	30	0	"2015-09-07 00:00:00"	"2015-09-24 00:00:00"	0		
2008	アマリリスと小さな嘘	進化済み	キャラ専用装備	3	0	37	132002	41	0	1	1	"2015-09-07 00:00:00"	"2015-09-24 00:00:00"	0		
2009	目立つためなら……	レベル10以上		1	2010	0	152701	59	0	10	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2010	メロンのようなもの？	レベル30以上		2	2011	0	152701	59	0	30	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2011	ヘリコニアとメロンの正体	進化済み	キャラ専用装備	3	0	182	152702	59	0	1	1	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2012	個性をください	レベル10以上		1	2013	0	142201	55	0	10	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2013	珍しいコレクション	レベル30以上		2	2014	0	142201	55	0	30	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2014	シロツメクサの特別な	進化済み	キャラ専用装備	3	0	190	142202	55	0	1	1	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2015	手紙の行方	レベル10以上		1	2016	0	121601	23	0	10	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2016	洗練された休日	レベル30以上		2	2017	0	121601	23	0	30	0	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2017	イブキトラノオ、その決意と誓い	進化済み	キャラ専用装備	3	0	191	121602	23	0	1	1	"2016-06-20 00:00:00"	"2016-06-20 00:00:00"	0		
2018	最強の兵法を求めて	レベル10以上		1	2019	0	111505	4	0	10	0	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2019	押してだめなら	レベル30以上		2	2020	0	111505	4	0	30	0	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2020	軍師パープルパンジー	進化済み	キャラ専用装備	3	0	202	111506	4	0	1	1	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2021	好奇心の代償	レベル10以上		1	2022	0	131909	40	0	10	0	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2022	病院へ行こう？	レベル30以上		2	2023	0	131909	40	0	30	0	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2023	自由なユキヤナギと団長の責任	進化済み	キャラ専用装備	3	0	203	131910	40	0	1	1	"2016-06-23 00:00:00"	"2016-06-23 00:00:00"	0		
2024	熱いお誘い	レベル10以上		1	2025	0	111101	1	0	10	0	"2016-07-07 00:00:00"	"2016-07-07 00:00:00"	0		
2025	正しいデート作法	レベル30以上		2	2026	0	111101	1	0	30	0	"2016-07-07 00:00:00"	"2016-07-07 00:00:00"	0		
2026	サルビアと、熱い気持ちの正体	進化済み	キャラ専用装備	3	0	212	111102	1	0	1	1	"2016-07-07 00:00:00"	"2016-07-07 00:00:00"	0		
2027	良くない未来	レベル10以上		1	2028	0	130801	32	0	10	0	"2016-07-07 00:00:00"	"2016-07-07 00:00:00"	0		
2028	どんな未来が待っていようと	レベル30以上		2	2029	0	130801	32	0	30	0	"2016-07-07 00:00:00"	"2016-07-07 00:00:00"	0		
